timestamp,variant,grid_size,timesteps,elapsed_ms,max_abs_error,l2_error,bandwidth_gbs,memory_bytes
2026-02-21 12:44:38,cuda_fp16_naive,512,500,9.19466,1.72063,0.0050165,169.729,1048576
2026-02-21 12:44:38,cuda_fp16_kahan,512,500,17.4791,3.05176e-05,6.78636e-08,267.851,3145728
2026-02-21 12:44:38,cpu_fp64,512,1000,211.36,0,0,0,4194304
2026-02-21 12:44:39,cuda_fp32,512,1000,24.396,9.15527e-05,1.79422e-07,255.878,2097152
2026-02-21 12:44:39,cuda_fp16_naive,512,1000,18.3648,3.00894,0.0119492,169.955,1048576
2026-02-21 12:44:39,cuda_fp16_kahan,512,1000,35.1833,9.15527e-05,1.79422e-07,266.137,3145728
2026-02-21 12:44:40,cpu_fp64,512,5000,1050.5,0,0,0,4194304
2026-02-21 12:44:41,cuda_fp32,512,5000,124.765,0.000354767,4.21747e-06,250.167,2097152
2026-02-21 12:44:41,cuda_fp16_naive,512,5000,92.3975,54.5418,0.6069,168.901,1048576
2026-02-21 12:44:42,cuda_fp16_kahan,512,5000,186.947,0.000354767,4.21747e-06,250.434,3145728
2026-02-21 12:44:42,cpu_fp64,1024,100,97.0051,0,0,0,16777216
2026-02-21 12:44:42,cuda_fp32,1024,100,7.83747,7.62939e-05,7.4087e-08,319.843,8388608
2026-02-21 12:44:42,cuda_fp16_naive,1024,100,7.15146,0.548065,0.000855543,175.262,4194304
2026-02-21 12:44:43,cuda_fp16_kahan,1024,100,10.9692,7.62939e-05,7.4087e-08,342.792,12582912
2026-02-21 12:44:43,cpu_fp64,1024,500,470.845,0,0,0,16777216
2026-02-21 12:44:44,cuda_fp32,1024,500,39.125,0.000442505,5.48019e-07,320.353,8388608
2026-02-21 12:44:44,cuda_fp16_naive,1024,500,35.7618,2.24609,0.00528643,175.24,4194304
2026-02-21 12:44:44,cuda_fp16_kahan,1024,500,56.7338,0.000442505,5.48019e-07,331.385,12582912
2026-02-21 12:44:45,cpu_fp64,1024,1000,935.557,0,0,0,16777216
2026-02-21 12:44:46,cuda_fp32,1024,1000,79.5067,0.000457764,8.89505e-07,315.289,8388608
2026-02-21 12:44:46,cuda_fp16_naive,1024,1000,71.5536,10.9662,0.0321652,175.167,4194304
2026-02-21 12:44:46,cuda_fp16_kahan,1024,1000,120.004,0.000457764,8.89505e-07,313.334,12582912
2026-02-21 12:44:51,cpu_fp64,1024,5000,4704.75,0,0,0,16777216
2026-02-21 12:44:52,cuda_fp32,1024,5000,430.011,0.00114441,5.40244e-06,291.476,8388608
2026-02-21 12:44:52,cuda_fp16_naive,1024,5000,355.165,78.3976,0.464808,176.451,4194304
2026-02-21 12:44:53,cuda_fp16_kahan,1024,5000,683.014,0.00114441,5.40244e-06,275.261,12582912
